split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
combined_hard_shift,recoverability_score_planner_v5,robust_margin_planner,safety_utility,0.98732,0.04443,0.94289,10,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,goal_success,0.04844,0.03112,0.01732,8,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,recovery_success,0.02958,0.08190,-0.05232,8,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00156,0.00306,-0.00150,0,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,damage,-0.00625,0.00936,-0.01560,5,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.11225,0.01637,-0.12862,10,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.07877,0.02671,-0.10547,10,10
combined_hard_shift,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.08023,0.04515,0.03508,9,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,goal_success,-0.02188,0.04384,-0.06571,4,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,0.09874,0.08755,0.01118,7,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,0.00156,0.00306,-0.00150,0,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,damage,-0.00781,0.00685,-0.01466,6,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.05471,0.03042,0.02429,0,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.00273,0.03790,-0.04063,4,10
combined_hard_shift,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,-0.02727,0.06308,-0.09035,4,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.01563,0.03260,-0.04823,3,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,0.05027,0.04937,0.00091,7,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00156,0.00306,-0.00150,0,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,damage,-0.00469,0.00654,-0.01122,2,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.05643,0.02497,0.03146,1,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,-0.03772,0.02660,-0.06433,8,10
combined_hard_shift,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.02327,0.04711,-0.07038,5,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.01407,0.04666,-0.06072,4,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,recovery_success,0.02244,0.10098,-0.07854,6,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,irreversible_failure,0.00156,0.00306,-0.00150,0,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,damage,-0.00313,0.01275,-0.01587,4,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,total_cost,0.08575,0.02928,0.05647,1,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,calibration_error,-0.04619,0.03816,-0.08435,7,10
combined_hard_shift,recoverability_score_planner_v5,learned_expected_utility,safety_utility,-0.02374,0.06805,-0.09178,5,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,goal_success,0.02656,0.04427,-0.01771,6,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,recovery_success,0.06732,0.07018,-0.00286,7,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,irreversible_failure,0.00156,0.00306,-0.00150,0,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,damage,-0.00781,0.00685,-0.01466,6,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,total_cost,-0.02082,0.02843,-0.04925,7,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,calibration_error,-0.02411,0.04150,-0.06561,7,10
combined_hard_shift,recoverability_score_planner_v5,cvar_recovery_planner,safety_utility,0.04417,0.06771,-0.02354,7,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.79219,0.02853,0.76366,10,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.34087,0.19668,0.14419,8,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00312,0.00408,-0.00721,2,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,damage,-0.02031,0.01026,-0.03057,7,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.54667,0.03943,-0.58609,10,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.67622,0.01972,-0.69595,10,10
irreversible_commitment,recoverability_score_planner_v5,robust_margin_planner,safety_utility,1.14248,0.04504,1.09745,10,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,goal_success,0.03125,0.00646,0.02480,10,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,recovery_success,0.02833,0.17354,-0.14521,3,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00000,0.00000,0.00000,0,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,damage,-0.00312,0.00612,-0.00925,3,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.16719,0.01800,-0.18519,10,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.06982,0.00874,-0.07856,10,10
irreversible_commitment,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.05877,0.01182,0.04695,10,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,goal_success,0.00469,0.01026,-0.00557,5,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,0.06000,0.12379,-0.06379,3,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,0.00000,0.00000,0.00000,0,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,damage,-0.00312,0.00408,-0.00721,2,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.04459,0.01642,0.02816,1,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.03458,0.00934,-0.04393,10,10
irreversible_commitment,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,0.00487,0.01591,-0.01104,7,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.01406,0.00963,-0.02369,1,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,-0.07500,0.10458,-0.17958,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00000,0.00000,0.00000,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,damage,0.00156,0.00306,-0.00150,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.04144,0.01361,0.02783,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,-0.04047,0.00896,-0.04943,10,10
irreversible_commitment,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.02363,0.01498,-0.03861,1,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.00313,0.01429,-0.01742,3,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,recovery_success,0.04833,0.18597,-0.13764,3,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,irreversible_failure,0.00000,0.00000,0.00000,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,damage,0.00156,0.00306,-0.00150,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,total_cost,0.06308,0.01699,0.04609,0,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,calibration_error,-0.05396,0.01184,-0.06580,10,10
irreversible_commitment,recoverability_score_planner_v5,learned_expected_utility,safety_utility,-0.01278,0.01781,-0.03059,3,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,goal_success,-0.00156,0.01476,-0.01632,3,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,recovery_success,-0.01000,0.12292,-0.13292,2,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,irreversible_failure,0.00000,0.00000,0.00000,0,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,damage,-0.00156,0.00550,-0.00706,2,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,total_cost,-0.01267,0.01188,-0.02455,9,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,calibration_error,0.00309,0.01378,-0.01069,4,10
irreversible_commitment,recoverability_score_planner_v5,cvar_recovery_planner,safety_utility,-0.00032,0.02241,-0.02273,5,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,goal_success,0.75938,0.02000,0.73937,10,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,recovery_success,0.36849,0.09709,0.27140,10,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,irreversible_failure,-0.00937,0.00677,-0.01614,5,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,damage,-0.03594,0.01373,-0.04967,10,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,total_cost,-0.55510,0.03991,-0.59500,10,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,calibration_error,-0.58561,0.01744,-0.60305,10,10
latent_mode_shift,recoverability_score_planner_v5,robust_margin_planner,safety_utility,1.12964,0.01843,1.11121,10,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,goal_success,0.03125,0.03874,-0.00749,8,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,recovery_success,-0.06650,0.07550,-0.14200,2,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,irreversible_failure,0.00000,0.00000,0.00000,0,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,damage,-0.00156,0.00963,-0.01119,3,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,total_cost,-0.11678,0.02638,-0.14316,10,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,calibration_error,-0.07599,0.02515,-0.10114,10,10
latent_mode_shift,recoverability_score_planner_v5,contingent_replanner,safety_utility,0.05559,0.05904,-0.00345,8,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,goal_success,-0.01250,0.02492,-0.03742,3,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,recovery_success,0.02013,0.11191,-0.09178,5,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,irreversible_failure,0.00000,0.00000,0.00000,0,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,damage,-0.00156,0.01327,-0.01483,3,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,total_cost,0.05847,0.02551,0.03296,1,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,calibration_error,-0.01612,0.01903,-0.03515,9,10
latent_mode_shift,recoverability_score_planner_v5,conformal_failure_filter,safety_utility,-0.02077,0.04197,-0.06274,3,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,goal_success,-0.00156,0.03369,-0.03525,5,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,recovery_success,0.04671,0.10842,-0.06171,4,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,irreversible_failure,0.00000,0.00000,0.00000,0,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,damage,0.00156,0.00714,-0.00558,2,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,total_cost,0.03853,0.02565,0.01288,2,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,calibration_error,-0.05580,0.03092,-0.08672,9,10
latent_mode_shift,recoverability_score_planner_v5,learned_failure_classifier,safety_utility,-0.00597,0.04979,-0.05577,5,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,goal_success,-0.02969,0.02211,-0.05180,1,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,recovery_success,-0.01230,0.07383,-0.08613,4,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,irreversible_failure,0.00000,0.00000,0.00000,0,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,damage,0.00469,0.00797,-0.00328,1,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,total_cost,0.09061,0.01705,0.07355,0,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,calibration_error,-0.04358,0.02532,-0.06890,8,10
latent_mode_shift,recoverability_score_planner_v5,learned_expected_utility,safety_utility,-0.05186,0.03617,-0.08803,1,10
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,goal_success,0.00156,0.04483,-0.04327,3,10
latent_mode_shift,recoverability_score_planner_v5,cvar_recovery_planner,recovery_success,0.01190,0.13163,-0.11973,3,10
