split,method,seed,episodes,goal_success,deviation_rate,recovery_success,irreversible_failure,damage,budget_overrun,total_cost,recovery_attempts,calibration_error,predicted_unsafe,risk_upper,plan_diversity,safety_utility
adversarial_compound_shift,contingent_replanner,7,64,0.51562,0.21875,0.85714,0.00000,0.01562,0.48438,2.07694,0.21875,0.49766,0.15870,0.22849,0.57143,0.16119
adversarial_compound_shift,contingent_replanner,8,64,0.56250,0.21875,0.85714,0.00000,0.00000,0.43750,2.08848,0.21875,0.43836,0.17487,0.24641,0.57143,0.24230
adversarial_compound_shift,contingent_replanner,9,64,0.65625,0.06250,0.75000,0.00000,0.00000,0.34375,1.97956,0.06250,0.35177,0.10801,0.17633,0.57143,0.37757
adversarial_compound_shift,receding_horizon_replanner,0,64,0.79688,0.18750,0.83333,0.00000,0.01562,0.20312,1.89729,0.18750,0.26910,0.09791,0.17246,0.57143,0.55525
adversarial_compound_shift,receding_horizon_replanner,1,64,0.75000,0.18750,0.91667,0.00000,0.01562,0.25000,1.90257,0.18750,0.32815,0.15127,0.22109,0.42857,0.49155
adversarial_compound_shift,receding_horizon_replanner,2,64,0.81250,0.14062,0.77778,0.00000,0.03125,0.18750,1.86762,0.14062,0.23557,0.11615,0.18754,0.57143,0.55997
adversarial_compound_shift,receding_horizon_replanner,3,64,0.68750,0.26562,0.88235,0.00000,0.01562,0.31250,1.95838,0.26562,0.38956,0.14369,0.20520,0.42857,0.40270
adversarial_compound_shift,receding_horizon_replanner,4,64,0.64062,0.25000,0.93750,0.00000,0.00000,0.35938,1.96264,0.25000,0.40305,0.11959,0.19118,0.42857,0.35783
adversarial_compound_shift,receding_horizon_replanner,5,64,0.75000,0.17188,0.81818,0.00000,0.01562,0.25000,1.93459,0.17188,0.30011,0.10863,0.17796,0.57143,0.48898
adversarial_compound_shift,receding_horizon_replanner,6,64,0.73438,0.18750,0.91667,0.00000,0.00000,0.26562,1.90774,0.18750,0.30057,0.11185,0.17614,0.42857,0.48879
adversarial_compound_shift,receding_horizon_replanner,7,64,0.75000,0.21875,0.85714,0.00000,0.00000,0.25000,1.91451,0.21875,0.33507,0.13283,0.20262,0.57143,0.50934
adversarial_compound_shift,receding_horizon_replanner,8,64,0.73438,0.21875,0.71429,0.00000,0.06250,0.26562,1.93491,0.21875,0.34795,0.15783,0.22937,0.42857,0.41161
adversarial_compound_shift,receding_horizon_replanner,9,64,0.67188,0.31250,0.95000,0.00000,0.04688,0.32812,1.99199,0.31250,0.37671,0.10264,0.17096,0.57143,0.34142
adversarial_compound_shift,conformal_failure_filter,0,64,0.73438,0.23438,0.93333,0.01562,0.03125,0.25000,1.88753,0.21875,0.31613,0.09536,0.22281,0.42857,0.43103
adversarial_compound_shift,conformal_failure_filter,1,64,0.78125,0.14062,1.00000,0.00000,0.00000,0.21875,1.86325,0.14062,0.27690,0.10739,0.23548,0.57143,0.55563
adversarial_compound_shift,conformal_failure_filter,2,64,0.71875,0.21875,1.00000,0.00000,0.00000,0.28125,1.91923,0.21875,0.34163,0.10178,0.22076,0.57143,0.46677
adversarial_compound_shift,conformal_failure_filter,3,64,0.78125,0.17188,0.63636,0.00000,0.00000,0.21875,1.88721,0.17188,0.28093,0.11484,0.20901,0.57143,0.55371
adversarial_compound_shift,conformal_failure_filter,4,64,0.78125,0.12500,0.87500,0.00000,0.00000,0.21875,1.88500,0.12500,0.26614,0.09768,0.20773,0.57143,0.55389
adversarial_compound_shift,conformal_failure_filter,5,64,0.81250,0.12500,0.75000,0.00000,0.00000,0.18750,1.86422,0.12500,0.25038,0.10793,0.21859,0.57143,0.59774
adversarial_compound_shift,conformal_failure_filter,6,64,0.68750,0.25000,0.87500,0.00000,0.03125,0.31250,1.92539,0.25000,0.36069,0.09021,0.18846,0.42857,0.38659
adversarial_compound_shift,conformal_failure_filter,7,64,0.78125,0.20312,0.92308,0.00000,0.01562,0.21875,1.90103,0.20312,0.30013,0.11108,0.22019,0.57143,0.53385
adversarial_compound_shift,conformal_failure_filter,8,64,0.73438,0.20312,0.84615,0.00000,0.01562,0.26562,1.92543,0.20312,0.32530,0.13922,0.24264,0.57143,0.46862
adversarial_compound_shift,conformal_failure_filter,9,64,0.68750,0.26562,0.88235,0.00000,0.03125,0.31250,1.97531,0.26562,0.32840,0.07774,0.17627,0.57143,0.38260
adversarial_compound_shift,learned_failure_classifier,0,64,0.75000,0.21875,1.00000,0.00000,0.00000,0.25000,1.87973,0.21875,0.30335,0.11731,0.13789,0.42857,0.51212
adversarial_compound_shift,learned_failure_classifier,1,64,0.75000,0.17188,1.00000,0.00000,0.03125,0.25000,1.87228,0.17188,0.34139,0.18418,0.16785,0.42857,0.47522
adversarial_compound_shift,learned_failure_classifier,2,64,0.62500,0.23438,0.73333,0.00000,0.03125,0.37500,1.95858,0.23438,0.38614,0.12542,0.13823,0.42857,0.29956
adversarial_compound_shift,learned_failure_classifier,3,64,0.84375,0.12500,0.75000,0.00000,0.01562,0.15625,1.83409,0.12500,0.25988,0.15762,0.14645,0.42857,0.62359
adversarial_compound_shift,learned_failure_classifier,4,64,0.78125,0.14062,0.88889,0.00000,0.01562,0.21875,1.85364,0.14062,0.30418,0.14158,0.14627,0.42857,0.53765
adversarial_compound_shift,learned_failure_classifier,5,64,0.79688,0.14062,0.77778,0.00000,0.01562,0.20312,1.88412,0.14062,0.29587,0.16725,0.15942,0.42857,0.55630
adversarial_compound_shift,learned_failure_classifier,6,64,0.85938,0.10938,0.85714,0.00000,0.00000,0.14062,1.82640,0.10938,0.21962,0.11953,0.12913,0.42857,0.66404
adversarial_compound_shift,learned_failure_classifier,7,64,0.81250,0.14062,0.77778,0.00000,0.03125,0.18750,1.85728,0.14062,0.27423,0.15695,0.15215,0.42857,0.56079
adversarial_compound_shift,learned_failure_classifier,8,64,0.85938,0.07812,1.00000,0.00000,0.00000,0.14062,1.84914,0.07812,0.25796,0.18524,0.16939,0.42857,0.66223
adversarial_compound_shift,learned_failure_classifier,9,64,0.81250,0.15625,0.90000,0.00000,0.00000,0.18750,1.86576,0.15625,0.27962,0.14331,0.14477,0.42857,0.59761
adversarial_compound_shift,learned_expected_utility,0,64,0.79688,0.20312,0.84615,0.00000,0.00000,0.20312,1.84622,0.20312,0.30495,0.13334,0.14757,0.42857,0.57808
adversarial_compound_shift,learned_expected_utility,1,64,0.82812,0.17188,0.81818,0.00000,0.01562,0.17188,1.83384,0.17188,0.30396,0.18658,0.17109,0.42857,0.60251
adversarial_compound_shift,learned_expected_utility,2,64,0.75000,0.20312,0.92308,0.00000,0.01562,0.25000,1.87055,0.20312,0.33005,0.13943,0.14957,0.42857,0.49411
adversarial_compound_shift,learned_expected_utility,3,64,0.79688,0.18750,0.66667,0.00000,0.04688,0.20312,1.84509,0.18750,0.31832,0.18313,0.16164,0.42857,0.52192
adversarial_compound_shift,learned_expected_utility,4,64,0.71875,0.25000,0.87500,0.00000,0.01562,0.28125,1.89457,0.25000,0.33462,0.15520,0.15509,0.42857,0.45000
adversarial_compound_shift,learned_expected_utility,5,64,0.84375,0.15625,0.80000,0.00000,0.03125,0.15625,1.84275,0.15625,0.26688,0.17433,0.16656,0.57143,0.60414
adversarial_compound_shift,learned_expected_utility,6,64,0.82812,0.17188,0.81818,0.00000,0.01562,0.17188,1.82437,0.17188,0.26736,0.14643,0.14474,0.42857,0.60327
adversarial_compound_shift,learned_expected_utility,7,64,0.81250,0.18750,0.75000,0.00000,0.00000,0.18750,1.84372,0.18750,0.30073,0.16912,0.16143,0.42857,0.59938
adversarial_compound_shift,learned_expected_utility,8,64,0.79688,0.15625,0.90000,0.00000,0.00000,0.20312,1.84895,0.15625,0.29707,0.19383,0.17712,0.42857,0.57787
adversarial_compound_shift,learned_expected_utility,9,64,0.89062,0.10938,0.85714,0.00000,0.00000,0.10938,1.80377,0.10938,0.23571,0.14776,0.14900,0.42857,0.70804
adversarial_compound_shift,branch_entropy_planner,0,64,0.34375,0.17188,0.81818,0.00000,0.01562,0.65625,2.17756,0.17188,0.59980,0.16766,0.24221,0.57143,-0.07889
adversarial_compound_shift,branch_entropy_planner,1,64,0.28125,0.14062,1.00000,0.00000,0.00000,0.71875,2.15426,0.14062,0.64917,0.16147,0.23129,0.42857,-0.14265
adversarial_compound_shift,branch_entropy_planner,2,64,0.23438,0.17188,1.00000,0.00000,0.03125,0.76562,2.17519,0.17188,0.67440,0.13661,0.20800,0.57143,-0.24511
adversarial_compound_shift,branch_entropy_planner,3,64,0.42188,0.15625,0.90000,0.00000,0.00000,0.57812,2.14501,0.15625,0.54148,0.14324,0.20474,0.57143,0.04793
adversarial_compound_shift,branch_entropy_planner,4,64,0.29688,0.06250,1.00000,0.00000,0.00000,0.70312,2.08117,0.06250,0.62537,0.13747,0.20906,0.57143,-0.11571
adversarial_compound_shift,branch_entropy_planner,5,64,0.42188,0.10938,0.85714,0.00000,0.01562,0.57812,2.11956,0.10938,0.54493,0.14356,0.21288,0.42857,0.03122
adversarial_compound_shift,branch_entropy_planner,6,64,0.29688,0.15625,1.00000,0.00000,0.01562,0.70312,2.13892,0.15625,0.61991,0.17428,0.23857,0.57143,-0.13908
adversarial_compound_shift,branch_entropy_planner,7,64,0.43750,0.20312,0.92308,0.00000,0.03125,0.56250,2.17284,0.20312,0.51729,0.17829,0.24808,0.57143,0.02930
adversarial_compound_shift,branch_entropy_planner,8,64,0.39062,0.17188,1.00000,0.00000,0.00000,0.60938,2.15973,0.17188,0.56628,0.15862,0.23016,0.57143,0.00457
adversarial_compound_shift,branch_entropy_planner,9,64,0.40625,0.18750,1.00000,0.00000,0.00000,0.59375,2.15195,0.18750,0.56024,0.13712,0.20544,0.57143,0.02628
adversarial_compound_shift,cvar_recovery_planner,0,64,0.76562,0.17188,0.72727,0.00000,0.01562,0.23438,1.88934,0.17188,0.27236,0.06892,0.19637,0.57143,0.51370
adversarial_compound_shift,cvar_recovery_planner,1,64,0.67188,0.23438,0.93333,0.00000,0.00000,0.32812,1.97969,0.23438,0.35753,0.07151,0.19960,0.57143,0.39866
adversarial_compound_shift,cvar_recovery_planner,2,64,0.73438,0.14062,0.33333,0.01562,0.03125,0.25000,1.90020,0.12500,0.30158,0.06668,0.18567,0.71429,0.43002
adversarial_compound_shift,cvar_recovery_planner,3,64,0.75000,0.17188,0.81818,0.01562,0.03125,0.23438,1.95377,0.15625,0.28825,0.07685,0.17102,0.85714,0.44682
adversarial_compound_shift,cvar_recovery_planner,4,64,0.70312,0.23438,0.80000,0.00000,0.03125,0.29688,1.99085,0.23438,0.32806,0.06716,0.17720,0.71429,0.40245
adversarial_compound_shift,cvar_recovery_planner,5,64,0.78125,0.12500,0.75000,0.00000,0.01562,0.21875,1.92904,0.12500,0.25476,0.06014,0.17080,0.57143,0.53161
adversarial_compound_shift,cvar_recovery_planner,6,64,0.67188,0.25000,0.93750,0.00000,0.03125,0.32812,1.99866,0.25000,0.36016,0.05895,0.15720,0.57143,0.35964
adversarial_compound_shift,cvar_recovery_planner,7,64,0.64062,0.28125,0.72222,0.00000,0.06250,0.35938,2.01709,0.28125,0.37335,0.07482,0.18394,0.71429,0.27848
adversarial_compound_shift,cvar_recovery_planner,8,64,0.75000,0.14062,0.88889,0.00000,0.01562,0.25000,1.96709,0.14062,0.27871,0.07869,0.18210,0.71429,0.48638
adversarial_compound_shift,cvar_recovery_planner,9,64,0.75000,0.17188,0.90909,0.00000,0.01562,0.25000,1.95619,0.17188,0.26663,0.05630,0.15483,0.71429,0.48725
adversarial_compound_shift,recoverability_score_planner_v5,0,64,0.76562,0.17188,0.72727,0.00000,0.00000,0.23438,1.89962,0.17188,0.27340,0.07147,0.14602,0.57143,0.53162
adversarial_compound_shift,recoverability_score_planner_v5,1,64,0.71875,0.21875,0.85714,0.00000,0.00000,0.28125,1.94991,0.21875,0.30912,0.07787,0.14770,0.57143,0.46432
adversarial_compound_shift,recoverability_score_planner_v5,2,64,0.71875,0.21875,1.00000,0.00000,0.00000,0.28125,1.95690,0.21875,0.31773,0.07301,0.14440,0.71429,0.46376
adversarial_compound_shift,recoverability_score_planner_v5,3,64,0.64062,0.29688,0.73684,0.00000,0.06250,0.35938,2.02557,0.29688,0.37502,0.08853,0.15004,0.71429,0.27780
adversarial_compound_shift,recoverability_score_planner_v5,4,64,0.73438,0.23438,0.93333,0.00000,0.03125,0.26562,1.97494,0.23438,0.29785,0.07243,0.14402,0.71429,0.44591
adversarial_compound_shift,recoverability_score_planner_v5,5,64,0.75000,0.17188,1.00000,0.00000,0.01562,0.25000,1.93422,0.17188,0.27096,0.06783,0.13715,0.57143,0.48901
adversarial_compound_shift,recoverability_score_planner_v5,6,64,0.79688,0.14062,0.77778,0.00000,0.01562,0.20312,1.90092,0.14062,0.24104,0.06252,0.12682,0.57143,0.55496
adversarial_compound_shift,recoverability_score_planner_v5,7,64,0.82812,0.12500,0.75000,0.00000,0.01562,0.15625,1.90953,0.12500,0.22578,0.07687,0.14666,0.71429,0.60192
adversarial_compound_shift,recoverability_score_planner_v5,8,64,0.64062,0.25000,0.75000,0.00000,0.04688,0.35938,2.05333,0.25000,0.35926,0.07989,0.15143,0.71429,0.29433
adversarial_compound_shift,recoverability_score_planner_v5,9,64,0.75000,0.14062,0.77778,0.00000,0.03125,0.25000,1.92793,0.14062,0.27687,0.06153,0.12985,0.71429,0.47077
adversarial_compound_shift,oracle_recoverability_upper_bound,0,64,0.81250,0.18750,0.91667,0.00000,0.00000,0.18750,1.82349,0.18750,0.24347,0.13878,0.04255,0.28571,0.60100
adversarial_compound_shift,oracle_recoverability_upper_bound,1,64,0.85938,0.14062,0.77778,0.00000,0.01562,0.14062,1.81268,0.14062,0.28095,0.18695,0.04749,0.28571,0.64639
adversarial_compound_shift,oracle_recoverability_upper_bound,2,64,0.85938,0.14062,0.88889,0.00000,0.01562,0.14062,1.81091,0.14062,0.25204,0.16584,0.05105,0.28571,0.64653
adversarial_compound_shift,oracle_recoverability_upper_bound,3,64,0.76562,0.23438,0.86667,0.00000,0.00000,0.23438,1.85288,0.23438,0.36332,0.20632,0.04975,0.28571,0.53536
adversarial_compound_shift,oracle_recoverability_upper_bound,4,64,0.82812,0.17188,0.90909,0.00000,0.01562,0.17188,1.82106,0.17188,0.28465,0.17624,0.04329,0.28571,0.60353
adversarial_compound_shift,oracle_recoverability_upper_bound,5,64,0.76562,0.23438,0.93333,0.00000,0.01562,0.23438,1.87490,0.23438,0.34126,0.18509,0.04842,0.28571,0.51485
adversarial_compound_shift,oracle_recoverability_upper_bound,6,64,0.78125,0.21875,0.85714,0.00000,0.00000,0.21875,1.84678,0.21875,0.30532,0.16928,0.04635,0.28571,0.55695
