stress_axis,stress_level,method,goal_success,ci95_success,recovery_success,irreversible_failure,damage,total_cost,safety_utility,rows
combined,0.00,oracle_recoverability_upper_bound,0.99687,0.00612,0.90000,0.00000,0.00000,1.69029,0.86165,320
combined,0.25,robust_margin_planner,0.40937,0.07273,0.72143,0.00000,0.02187,2.40603,-0.01608,320
combined,0.25,contingent_replanner,0.95625,0.02274,0.90833,0.00000,0.00313,1.97046,0.78283,320
combined,0.25,learned_failure_classifier,0.98750,0.01354,0.85833,0.00000,0.00313,1.75625,0.84325,320
combined,0.25,learned_expected_utility,0.98750,0.01000,0.85500,0.00000,0.00000,1.72721,0.84932,320
combined,0.25,cvar_recovery_planner,0.98438,0.02092,0.96667,0.00000,0.00000,1.81965,0.83334,320
combined,0.25,recoverability_score_planner_v5,0.98750,0.01354,0.97500,0.00000,0.00000,1.80405,0.83989,320
combined,0.25,oracle_recoverability_upper_bound,0.99062,0.00936,0.83333,0.00000,0.00313,1.71363,0.84978,320
combined,0.50,robust_margin_planner,0.19062,0.06290,0.64167,0.00625,0.03125,2.44930,-0.33485,320
combined,0.50,contingent_replanner,0.89062,0.02092,0.92667,0.00000,0.01250,2.00980,0.67875,320
combined,0.50,learned_failure_classifier,0.94688,0.02424,0.82000,0.00000,0.00937,1.81096,0.77981,320
combined,0.50,learned_expected_utility,0.95937,0.02052,0.78333,0.00000,0.00625,1.79074,0.80205,320
combined,0.50,cvar_recovery_planner,0.95000,0.02082,0.95000,0.00000,0.00313,1.87440,0.77880,320
combined,0.50,recoverability_score_planner_v5,0.93125,0.02000,0.83333,0.00313,0.00625,1.86697,0.75033,320
combined,0.50,oracle_recoverability_upper_bound,0.96562,0.02132,0.87667,0.00000,0.00937,1.76935,0.80627,320
combined,0.75,robust_margin_planner,0.12187,0.03471,0.60861,0.00625,0.05312,2.51801,-0.46050,320
combined,0.75,contingent_replanner,0.78438,0.03589,0.87349,0.00000,0.02187,2.04719,0.52107,320
combined,0.75,learned_failure_classifier,0.83437,0.03985,0.80810,0.00000,0.02500,1.89120,0.60058,320
combined,0.75,learned_expected_utility,0.86875,0.04454,0.79861,0.00000,0.00937,1.83459,0.66589,320
combined,0.75,cvar_recovery_planner,0.81563,0.04784,0.83933,0.00000,0.01875,1.95105,0.57360,320
combined,0.75,recoverability_score_planner_v5,0.78438,0.03589,0.89137,0.00000,0.00937,1.96205,0.54397,320
combined,0.75,oracle_recoverability_upper_bound,0.88750,0.04001,0.82738,0.00000,0.01250,1.80579,0.69522,320
combined,1.00,robust_margin_planner,0.12500,0.04083,0.57558,0.02813,0.06250,2.55545,-0.50444,320
combined,1.00,contingent_replanner,0.68750,0.04565,0.87980,0.00000,0.02187,2.10666,0.38334,320
combined,1.00,learned_failure_classifier,0.73750,0.05018,0.87214,0.00000,0.03125,1.95934,0.45138,320
combined,1.00,learned_expected_utility,0.78125,0.05084,0.85667,0.00000,0.00937,1.89208,0.54207,320
combined,1.00,cvar_recovery_planner,0.76875,0.04204,0.83169,0.00000,0.01250,1.97803,0.51457,320
combined,1.00,recoverability_score_planner_v5,0.71562,0.04229,0.88444,0.00000,0.03125,2.01411,0.41746,320
combined,1.00,oracle_recoverability_upper_bound,0.78125,0.03163,0.87071,0.00000,0.01562,1.87598,0.53586,320
combined,1.25,robust_margin_planner,0.12812,0.04229,0.59490,0.02500,0.06563,2.60573,-0.50471,320
combined,1.25,contingent_replanner,0.47813,0.05558,0.83289,0.00000,0.05000,2.20532,0.05904,320
combined,1.25,learned_failure_classifier,0.63438,0.06263,0.84095,0.00000,0.03438,2.02260,0.30335,320
combined,1.25,learned_expected_utility,0.66563,0.03879,0.89455,0.00000,0.03125,1.98495,0.35230,320
combined,1.25,cvar_recovery_planner,0.62500,0.05628,0.87611,0.00313,0.04688,2.06717,0.26775,320
combined,1.25,recoverability_score_planner_v5,0.66250,0.04814,0.78667,0.00313,0.02813,2.03327,0.34359,320
combined,1.25,oracle_recoverability_upper_bound,0.74375,0.05687,0.90508,0.00000,0.02500,1.93049,0.46962,320
combined,1.50,robust_margin_planner,0.09688,0.03222,0.52085,0.05625,0.13125,2.67913,-0.67746,320
combined,1.50,contingent_replanner,0.29688,0.03196,0.82809,0.00000,0.05937,2.29333,-0.20394,320
combined,1.50,learned_failure_classifier,0.50625,0.06246,0.77029,0.00313,0.05312,2.12809,0.09506,320
combined,1.50,learned_expected_utility,0.58750,0.05973,0.88988,0.00000,0.03750,2.07679,0.23198,320
combined,1.50,cvar_recovery_planner,0.44688,0.03658,0.88369,0.01250,0.03125,2.18528,0.02236,320
combined,1.50,recoverability_score_planner_v5,0.51562,0.05864,0.86271,0.00625,0.03750,2.15061,0.12029,320
combined,1.50,oracle_recoverability_upper_bound,0.62500,0.06584,0.81416,0.00000,0.04688,2.03504,0.27470,320
